epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,15201.3,1.30461,0.54272,1.17248,0.9658,0.99581,0.98336,0.62122,1.37925,0.46395,1.27281,0.00307,0.00307,0.00307
58,15467.5,1.30096,0.53816,1.17002,0.96698,0.9958,0.98331,0.62196,1.37962,0.46456,1.27286,0.00294625,0.00294625,0.00294625
59,15733.9,1.30576,0.53788,1.18166,0.96695,0.99612,0.98331,0.62167,1.3794,0.46408,1.27273,0.0028225,0.0028225,0.0028225
60,16000.3,1.292,0.53645,1.17185,0.96708,0.99615,0.98324,0.62106,1.37833,0.46383,1.27172,0.00269875,0.00269875,0.00269875
61,16267.2,1.29719,0.53147,1.17405,0.96724,0.99615,0.98331,0.62155,1.37798,0.46323,1.27167,0.002575,0.002575,0.002575
62,16533.9,1.28912,0.53059,1.16932,0.96732,0.99616,0.98319,0.62115,1.3769,0.46221,1.2716,0.00245125,0.00245125,0.00245125
63,16800.3,1.28382,0.52636,1.16723,0.96718,0.99624,0.98325,0.62062,1.37671,0.46175,1.27186,0.0023275,0.0023275,0.0023275
64,17066.6,1.28517,0.52263,1.1662,0.96657,0.99676,0.9833,0.62114,1.37596,0.46104,1.27169,0.00220375,0.00220375,0.00220375
65,17332.9,1.2789,0.52303,1.15756,0.9666,0.99684,0.98334,0.62123,1.37624,0.46116,1.27124,0.00208,0.00208,0.00208
66,17599.4,1.27828,0.52189,1.15565,0.9662,0.99684,0.9833,0.62029,1.37623,0.46061,1.27051,0.00195625,0.00195625,0.00195625
67,17866.4,1.28014,0.5242,1.16875,0.9662,0.99684,0.9833,0.62041,1.37595,0.46009,1.27155,0.0018325,0.0018325,0.0018325
68,18133.1,1.2727,0.5174,1.16943,0.96614,0.99684,0.98334,0.61977,1.37563,0.45972,1.27264,0.00170875,0.00170875,0.00170875
69,18400,1.27131,0.51225,1.16179,0.96725,0.99789,0.98489,0.62127,1.37519,0.45967,1.27308,0.001585,0.001585,0.001585
70,18666.8,1.2735,0.51028,1.15959,0.96719,0.99789,0.98484,0.62093,1.37539,0.45895,1.2733,0.00146125,0.00146125,0.00146125
71,303.359,1.29979,0.48022,1.22006,0.96635,0.99739,0.98486,0.62083,1.3758,0.45905,1.27353,0.0013375,0.0013375,0.0013375
72,574.202,1.2933,0.48011,1.21955,0.96648,0.9973,0.98481,0.62023,1.3755,0.45895,1.27409,0.00121375,0.00121375,0.00121375
73,844.727,1.29262,0.47586,1.21775,0.96656,0.99729,0.98477,0.62135,1.37611,0.45853,1.27419,0.00109,0.00109,0.00109
74,1113.34,1.28663,0.4724,1.21598,0.96649,0.99737,0.98479,0.62154,1.37562,0.45878,1.27446,0.00096625,0.00096625,0.00096625
75,1380.53,1.28189,0.47111,1.21347,0.96653,0.99725,0.98474,0.62155,1.37545,0.45888,1.27452,0.0008425,0.0008425,0.0008425
76,1647.79,1.27956,0.46898,1.20976,0.96532,0.99644,0.98325,0.62198,1.37516,0.45867,1.2745,0.00071875,0.00071875,0.00071875
77,1916.47,1.27481,0.4664,1.20948,0.96535,0.99642,0.98329,0.62155,1.37537,0.45869,1.27499,0.000595,0.000595,0.000595
78,2185.44,1.26478,0.4629,1.20549,0.96529,0.99648,0.98333,0.62154,1.37547,0.45831,1.27484,0.00047125,0.00047125,0.00047125
79,2452.44,1.2641,0.46107,1.20401,0.9653,0.99646,0.98341,0.62139,1.37554,0.45816,1.27532,0.0003475,0.0003475,0.0003475
80,2719.62,1.26091,0.45985,1.19728,0.96635,0.9975,0.9848,0.62126,1.37508,0.45762,1.27488,0.00022375,0.00022375,0.00022375
